#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:dna9" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:dna9" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna9" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna9" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:dna9" name="distribution" x="@birthRate.t:dna9">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna9" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:dna9" name="distribution">
#            <parameter id="kappa.s:dna9" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna9" id="treeLikelihood.dna9" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna9">
#            <siteModel id="SiteModel.s:dna9" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna9" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna9" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna9" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna9" kappa="@kappa.s:dna9" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:dna9" id="estimatedFreqs.s:dna9" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:dna9" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:dna9" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-5276.362887417559	-5272.622586503464	-3.740300914095454	-5272.622586503464	0.36533864533895377	-1.8749408801211667	1.0	2.0	0.25	0.25	0.25	0.25
1000	-4572.6015604409695	-4576.68319062128	4.081630180310249	-4576.68319062128	0.2253381230988757	5.946990214284536	5.451560519436885	2.0	0.25	0.25	0.24592735659069298	0.254072643409307
2000	-4572.264143087758	-4576.257725408016	3.993582320257482	-4576.257725408016	0.2294164188343678	5.858942354231769	5.615255463564316	2.0	0.25	0.25	0.24592735659069298	0.254072643409307
3000	-4572.226809470159	-4576.27339311035	4.04658364019125	-4576.27339311035	0.22739086987666127	5.911943674165538	5.615255463564316	2.0	0.25	0.25	0.24592735659069298	0.254072643409307
4000	-4572.164740145187	-4576.189385872558	4.024645727370418	-4576.189385872558	0.22739086987666127	5.890005761344705	5.689803420186825	2.0	0.25	0.25	0.24592735659069298	0.254072643409307
5000	-4571.196090066208	-4574.967193795919	3.7711037297111205	-4574.967193795919	0.2277394482876275	5.88678306301901	5.653712744005166	2.6468501863155707	0.25	0.25	0.24592735659069298	0.254072643409307
6000	-4571.119139345814	-4574.827717676561	3.7085783307479354	-4574.827717676561	0.2297406060669454	5.824257664055825	5.618042425286267	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
7000	-4571.105951974029	-4574.827153317093	3.721201343063522	-4574.827153317093	0.2297406060669454	5.836880676371411	5.618042425286267	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
8000	-4571.097776678817	-4574.823795074642	3.726018395824037	-4574.823795074642	0.2297406060669454	5.841697729131926	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
9000	-4571.097666778092	-4574.819266954826	3.721600176733697	-4574.819266954826	0.2297406060669454	5.837279510041586	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
10000	-4571.097504087242	-4574.822299016699	3.7247949294571794	-4574.822299016699	0.2297406060669454	5.840474262765069	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
11000	-4571.096638877513	-4574.8206741514305	3.724035273917045	-4574.8206741514305	0.2297406060669454	5.839714607224934	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
12000	-4571.094972060829	-4574.821495715159	3.726523654329894	-4574.821495715159	0.2297406060669454	5.8422029876377835	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
13000	-4571.094972060829	-4574.821495715159	3.726523654329894	-4574.821495715159	0.2297406060669454	5.8422029876377835	5.665414845477048	2.6468501863155707	0.2531042337715031	0.2536875057704741	0.24592735659069298	0.24728090386732984
